found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year
2015-02-16,000991,杜洋,48亿,工银战略转型股票,工银瑞信基金管理有限公司,3.9870,2015-02-16,12
2014-11-18,000828,王鹏,62亿,泰达宏利转型机遇股票,泰达宏利基金管理有限公司,2.4230,2017-12-19,10
2015-03-19,001054,鄢耀,110亿,工银新金融股票,工银瑞信基金管理有限公司,2.7300,2015-03-19,14
2015-03-26,001043,王君正,19亿,工银美丽城镇股票,工银瑞信基金管理有限公司,2.6200,2015-03-26,14
2015-04-28,001171,赵蓓,40亿,工银养老产业股票,工银瑞信基金管理有限公司,1.7730,2015-04-28,14
2015-04-14,001126,李德辉,23亿,上投摩根卓越制造股票,上投摩根基金管理有限公司,1.4270,2018-06-15,10
2015-04-28,001158,张剑峰,23亿,工银新材料新能源股票,工银瑞信基金管理有限公司,1.4500,2016-09-19,17
2014-11-18,000831,谭冬寒 赵蓓,49亿,工银医疗保健股票,工银瑞信基金管理有限公司,3.0760,2014-11-18,14
2015-05-22,001236,沙炜,12亿,博时丝路主题股票A,博时基金管理有限公司,1.8900,2015-05-22,14
2015-01-30,000960,李佳存,34亿,招商医药健康产业股票,招商基金管理有限公司,2.4460,2015-01-30,14
2005-02-02,162703,刘格菘,134亿,广发小盘成长混合（LOF）,广发基金管理有限公司,1.8597,2017-06-19,12
2014-09-03,000746,贾成东,31亿,招商行业精选股票,招商基金管理有限公司,3.3570,2016-12-31,14
2013-06-05,519727,郭斐,15亿,交银成长30前收费基金,交银施罗德基金公司,2.2930,2017-09-26,13
2015-04-22,001166,姜锋,11亿,建信环保产业,建信基金管理有限责任公司,1.3050,2015-04-22,15
2007-02-12,162006,陈良栋,25亿,长城久富核心成长股票型基金,长城基金公司,1.7227,2018-12-28,11
2012-11-07,519714,韩威俊,22亿,交银等权前收费基金,交银施罗德基金公司,1.7460,2018-08-24,17
2014-10-22,000793,黄安乐,13亿,工银高端制造股票,工银瑞信基金管理有限公司,1.5290,2018-06-05,19
2011-01-27,200012,何以广,15亿,长城中小盘,长城基金管理公司,2.7048,2015-06-04,11
2014-06-20,000513,毕天宇,15亿,富国高端制造行业,富国基金管理有限公司,3.0510,2014-06-20,22
2015-05-06,001186,林庆,18亿,富国文体健康股票,富国基金管理有限公司,1.9580,2015-05-06,13
2015-02-03,000628,刘旭,54亿,大成高新技术产业股票,大成基金管理有限公司,3.1800,2015-07-29,11
2015-02-13,000996,吴印,11亿,中银新动力股票,中银基金管理有限公司,1.0580,2018-05-03,15